bigram,frequency
уважаемые коллеги,18
российской федерации,9
считаю необходимым,7
прошу правительство,7
прежде всего,7
наших граждан,6
связи предлагаю,6
государственной думы,5
председателя правительства,5
прожиточного минимума,5
нужно сделать,4
имею виду,4
тысяч рублей,4
субъектах федерации,4
федерального бюджета,4
января года,4
нужно создать,4
нашей страны,4
федеральному собранию,4
рождении второго,3
большую ответственность,3
взять большую,3
должны стать,3
будут получать,3
году нужно,3
обращаю внимание,3
декабря года,3
это подчеркнуть,3
социального контракта,3
хочу это,3
материнский капитал,3
закрепить конституции,3
второго ребенка,3
основной закон,3
территории страны,3
граждан страны,3
середине наступающего,3
двумя детьми,3
совета федерации,3
великой отечественной,3
хочу подчеркнуть,3
президента российской,3
субъектов федерации,3
всей территории,3
это значит,3
наступающего десятилетия,3
время великой,2
федеральных министров,2
советом федерации,2
консультаций советом,2
снижение бедности,2
итогам консультаций,2
это все,2
эта система,2
будем выплачивать,2
каждом регионе,2
конституции российской,2
тех находится,2
должны сделать,2
страны мало,2
прошлого года,2
отечественной войны,2
эта мера,2
ветвями власти,2
роль значение,2
семьи двумя,2
трех семи,2
лет включительно,2
семи лет,2
конституционного суда,2
низкими доходами,2
главы субъектов,2
доходами это,2
текущего года,2
семьи чьи,2
чьи доходы,2
доходы превышают,2
аплодисменты это,2
сих пор,2
ежемесячные выплаты,2
поправок конституции,2
ребенка месяц,2
хочу сказать,2
среднем это,2
кроме того,2
конца года,2
выйти работу,2
помочь регионам,2
нужно идти,2
поддержки семьи,2
предлагаю предусмотреть,2
детей возрасте,2
возрасте трех,2
это очень,2
ваше внимание,2
молодых людей,2
формирование правительства,2
больше году,2
однако повторю,2
каждой стране,2
национальные проекты,2
прошлом году,2
общественных объединений,2
приоритетном порядке,2
бюджетных мест,2
зале это,2
менее пяти,2
связи считаю,2
миллиардов рублей,2
развития россии,2
полном объеме,2
должны получить,2
году должны,2
первичном звене,2
должны создать,2
коллеги хочу,2
коем случае,2
нужно запустить,2
налоговые условия,2
банка россии,2
каждого человека,2
поправки которые,2
национальную экономику,2
последние годы,2
изменить порядок,2
оплаты труда,2
реального сектора,2
сектора экономики,2
вредных выбросов,2
целевое обучение,2
нам предстоит,2
дальнейшего развития,2
речь идет,2
материнского капитала,2
полной мере,2
нашего общества,2
должность президента,2
этом конечно,2
горячим питанием,2
вместе тем,2
других сферах,2
таким образом,2
которыми сталкивается,2
семья получит,2
материнскому капиталу,2
связи хотел,2
число рождений,2
государственной думе,2
решение рождении,2
ответственность формирование,2
чрезвычайно важно,2
меры поддержки,2
бесплатное горячее,2
конституции россии,2
российского общества,2
права граждан,2
семья это,2
очень важно,2
дали результат,2
поддержки семей,2
это означает,2
федерального регионального,2
должны обеспечены,2
территории россии,2
сентября года,2
советского союза,2
и безусловно,2
страны именно,2
коэффициент рождаемости,2
достойной жизни,2
нам нужно,2
нам удалось,2
федерации депутаты,2
всей стране,2
десять лет,2
того сколько,2
пять десять,2
зависит того,2
работы правительства,2
члены совета,2
развития страны,2
послание президента,2
уровней власти,2
нашем обществе,2
которых требует,2
депутаты государственной,2
наша память,1
подвиг наша,1
дань огромного,1
развитию достижению,1
чтим подвиг,1
огромного уважения,1
победителей чтим,1
уважения героическому,1
память дань,1
нашему будущему,1
героическому прошлому,1
прошлому служит,1
нашим детям,1
скажем нашим,1
иначе скажем,1
победе иначе,1
правду победе,1
защитить правду,1
обязаны защитить,1
единство обязаны,1
наше единство,1
укрепляет наше,1
нас укрепляет,1
вдохновляет нас,1
будущему вдохновляет,1
гордимся поколением,1
служит нашему,1
поколением победителей,1
святой праздник,1
достижению самых,1
людей разных,1
уважения старшим,1
взаимопомощи уважения,1
традиций взаимопомощи,1
воплощением традиций,1
возрастов воплощением,1
поколений возрастов,1
разных поколений,1
вообще людей,1
поколениям нашей,1
студентов вообще,1
школьников студентов,1
объединяет школьников,1
которое объединяет,1
движение которое,1
волонтерское движение,1
становится волонтерское,1
старшим поколениям,1
нашей истории,1
праздник гордимся,1
победы великой,1
ложь зараза,1
великий святой,1
самый великий,1
мая самый,1
россии мая,1
войне россии,1
отечественной войне,1
летие победы,1
истории стал,1
отмечать летие,1
будем отмечать,1
году будем,1
победы году,1
волонтеры победы,1
проект волонтеры,1
стал проект,1
детям ложь,1
вранью попыткам,1
зараза расползаться,1
коллеги видим,1
дни региональные,1
последние дни,1
недели последние,1
последние недели,1
буквально последние,1
африке буквально,1
северной африке,1
востоке северной,1
ближнем востоке,1
происходит ближнем,1
мире происходит,1
события мире,1
развиваются события,1
неуправляемо развиваются,1
непредсказуемо неуправляемо,1
региональные конфликты,1
конфликты могут,1
могут стремительно,1
прямой разговор,1
тех острейших,1
миропорядка тех,1
стабильного миропорядка,1
принципах стабильного,1
основных принципах,1
разговор основных,1
серьезный прямой,1
стремительно перерастать,1
убежден серьезный,1
сообщества убежден,1
международного сообщества,1
всего международного,1
угрозы всего,1
перерастать угрозы,1
видим непредсказуемо,1
поколениями уважаемые,1
расползаться всему,1
будущими поколениями,1
полный комплекс,1
самый полный,1
крупнейший самый,1
создан крупнейший,1
россии создан,1
факты россии,1
противопоставить факты,1
должны противопоставить,1
историю должны,1
переиначить историю,1
попыткам переиначить,1
действительно массовым,1
наглому вранью,1
миру наглому,1
всему миру,1
комплекс архивных,1
архивных документов,1
документов кино,1
мира такая,1
ответственность будущими,1
страныпобедительницы ответственность,1
долг страныпобедительницы,1
наш долг,1
работа наш,1
такая работа,1
всего мира,1
кино фотоматериалов,1
граждан всего,1
доступных наших,1
войне доступных,1
мировой войне,1
второй мировой,1
фотоматериалов второй,1
массовым становится,1
задач национального,1
важно действительно,1
швейцарии повседневной,1
франции австрии,1
например франции,1
чем например,1
выше чем,1
россии выше,1
телевидением россии,1
цифровым телевидением,1
охват цифровым,1
мире охват,1
современных мире,1
самых современных,1
одну самых,1
параметрам одну,1
техническим параметрам,1
своим техническим,1
австрии швейцарии,1
повседневной жизненной,1
цифрового телевидения,1
жизненной необходимостью,1
мессенджеры почтовые,1
наш труд,1
сети мессенджеры,1
социальные сети,1
свои социальные,1
мире свои,1
стран мире,1
немногих стран,1
одна немногих,1
россия одна,1
причем россия,1
интернет причем,1
стал интернет,1
людей стал,1
необходимостью людей,1
телевидения своим,1
примера цифрового,1
развития очень,1
ускорить цифровую,1
считаю правильным,1
страны связи,1
самой страны,1
внутри самой,1
инновации внутри,1
спрос инновации,1
расширять спрос,1
безусловно расширять,1
экспорт и,1
высокотехнологичный экспорт,1
поддерживать высокотехнологичный,1
компаниями поддерживать,1
инновационными компаниями,1
успешными инновационными,1
сильными успешными,1
правильным ускорить,1
цифровую трансформацию,1
инфраструктуру примера,1
трансформацию реального,1
крупнейшую инфраструктуру,1
создали крупнейшую,1
производства создали,1
отечественного производства,1
продуктов отечественного,1
программных продуктов,1
основе программных,1
образом основе,1
главным образом,1
осуществлялись главным,1
проекты осуществлялись,1
труд имя,1
требование национальные,1
установить требование,1
экономики установить,1
почтовые поисковые,1
поисковые системы,1
системы другие,1
жизни страны,1
участия людей,1
возможности участия,1
новые возможности,1
это новые,1
конечно это,1
проектов конечно,1
культурных проектов,1
социальных культурных,1
реализации социальных,1
общения реализации,1
творчества общения,1
образования творчества,1
пространство образования,1
широкое пространство,1
создать широкое,1
людей жизни,1
страны значима,1
другие национальные,1
значима каждая,1
национального развития,1
проблемах которыми,1
решение задач,1
вклад решение,1
свой вклад,1
внести свой,1
стремление внести,1
организаций стремление,1
некоммерческих организаций,1
объединений некоммерческих,1
самых смелых,1
граждан общественных,1
инициатива граждан,1
созидательная инициатива,1
каждая созидательная,1
граждан создать,1
россии наших,1
преимуществом россии,1
конкурентным преимуществом,1
социально значимым,1
доступ социально,1
бесплатный доступ,1
обеспечить бесплатный,1
страны обеспечить,1
смелых планов,1
планов наш,1
интернет всей,1
доступный интернет,1
проект доступный,1
реализовать проект,1
подготовить реализовать,1
предлагаю подготовить,1
ресурсы связи,1
национальные ресурсы,1
значимым отечественным,1
отечественным интернетсервисам,1
интернетсервисам повторю,1
интернеттрафик уважаемые,1
стать конкурентным,1
должна стать,1
интернета должна,1
доступность интернета,1
высокая доступность,1
коллеги высокая,1
связи интернеттрафик,1
повторю случае,1
услугу связи,1
саму услугу,1
платить саму,1
придется платить,1
людям придется,1
случае людям,1
острейших проблемах,1
политическую волю,1
сталкивается человечество,1
хотел остановиться,1
зале находится,1
требует дальнейшего,1
потенциал которых,1
власти потенциал,1
ветвей уровней,1
работе ветвей,1
результативной работе,1
напряженной результативной,1
конечно напряженной,1
и конечно,1
граждан и,1
общества наших,1
участии общества,1
активном участии,1
возможно активном,1
развития связи,1
остановиться вопросах,1
россии позволяет,1
вопросах государственного,1
последней годовой,1
числе последней,1
постоянно числе,1
задают постоянно,1
вопросы задают,1
федерации вопросы,1
конституция российской,1
страны конституция,1
закон нашей,1
определяет основной,1
которые определяет,1
политики которые,1
внутренней политики,1
устройства внутренней,1
государственного устройства,1
коллеги возможно,1
цели уважаемые,1
движение цели,1
будущего движение,1
регионов интересах,1
наших регионов,1
росте наших,1
страны верю,1
социальном росте,1
экономическом социальном,1
сосредоточиться экономическом,1
вопросов сосредоточиться,1
внутренних вопросов,1
насущных внутренних,1
самых насущных,1
решения самых,1
гораздо решения,1
сделать гораздо,1
нам сделать,1
интересах людей,1
людей величие,1
величие россии,1
сильной державы,1
нашего будущего,1
основу нашего,1
вижу основу,1
людей вижу,1
благополучия людей,1
державы благополучия,1
гармонии сильной,1
россии неотделимо,1
гражданина гармонии,1
каждого гражданина,1
жизни каждого,1
неотделимо достойной,1
находится граждан,1
граждан нашей,1
годовой прессконференции,1
прессконференции разумеется,1
разумеется согласиться,1
говорили сегодня,1
конституции сразу,1
новой конституции,1
принятии новой,1
вопрос принятии,1
ставят вопрос,1
зале тех,1
объединений ставят,1
политических общественных,1
ряд политических,1
сфере ряд,1
социальной сфере,1
экономике социальной,1
ситуация экономике,1
менее ситуация,1
стабилизировалась менее,1
сразу хочу,1
хочу ответить,1
ответить считаю,1
исчерпан фундаментальные,1
свободы человека,1
права свободы,1
строя права,1
конституционного строя,1
основы конституционного,1
фундаментальные основы,1
далеко исчерпан,1
находится зале,1
года далеко,1
конституции года,1
потенциал конституции,1
нет потенциал,1
необходимости нет,1
считаю необходимости,1
сегодня стабилизировалась,1
которых говорили,1
согласиться теми,1
проблем которых,1
пор кардинально,1
тех пор,1
дел тех,1
положение дел,1
кризиса положение,1
внутриполитического кризиса,1
тяжелого внутриполитического,1
условиях тяжелого,1
назад условиях,1
века назад,1
четверти века,1
принята четверти,1
конституция принята,1
говорит конституция,1
теми говорит,1
кардинально изменилось,1
изменилось слава,1
слава богу,1
кавказе несмотря,1
острых проблем,1
достаточно острых,1
тех зале,1
нерешенных достаточно,1
ряд нерешенных,1
несмотря ряд,1
северном кавказе,1
богу вооруженного,1
терроризма северном,1
международного терроризма,1
очага международного,1
столице очага,1
противостояния столице,1
вооруженного противостояния,1
позволяет нам,1
верю успех,1
человечество безусловно,1
планете которые,1
обеспечению стабильности,1
подходы обеспечению,1
обновленные подходы,1
выработать обновленные,1
войны выработать,1
глобальной войны,1
предпосылок глобальной,1
устранению предпосылок,1
мер устранению,1
начать мер,1
всего начать,1
должны прежде,1
наций должны,1
пять наций,1
человечества пять,1
стабильности планете,1
которые полной,1
мирного развития,1
мере учитывали,1
партнерами никому,1
заинтересованными партнерами,1
всеми заинтересованными,1
сотрудничества всеми,1
укрепления сотрудничества,1
открыта укрепления,1
россия открыта,1
отношений россия,1
международных отношений,1
современных международных,1
аспекты современных,1
военные аспекты,1
экономические военные,1
политические экономические,1
учитывали политические,1
развитие человечества,1
устойчивое развитие,1
сохранение устойчивое,1
ответственность сохранение,1
реальных действий,1
ответственности реальных,1
общей ответственности,1
нашей общей,1
созиданию развитию,1
осознания нашей,1
требует осознания,1
время требует,1
мужество время,1
мудрость мужество,1
волю мудрость,1
могли стать,1
проявить политическую,1
назрел проявить,1
безусловно назрел,1
действий подать,1
подать пример,1
пример должны,1
пять ядерных,1
особую ответственность,1
наша добрая,1
добрая воля,1
несут особую,1
держав несут,1
ядерных держав,1
именно пять,1
должны страны,1
наций именно,1
объединенных наций,1
организации объединенных,1
воля созиданию,1
основательницы организации,1
страны основательницы,1
никому угрожаем,1
угрожаем стремимся,1
стремимся навязывать,1
обладает россия,1
наблюдая анализируя,1
внимательно наблюдая,1
вперед внимательно,1
идти вперед,1
расслабляться нужно,1
лаврах расслабляться,1
почивать лаврах,1
нам почивать,1
хотя нам,1
вперед хотя,1
десятилетия вперед,1
обеспечена десятилетия,1
страны обеспечена,1
определяет наша,1
обороноспособность страны,1
успех определяет,1
анализируя то,1
то происходит,1
поколений делаем,1
прогрессивного мирного,1
основу прогрессивного,1
создает основу,1
безопасность создает,1
надежная безопасность,1
делаем надежная,1
будущих поколений,1
происходит сфере,1
системы будущих,1
комплексы системы,1
боевые комплексы,1
разрабатывать боевые,1
мире разрабатывать,1
сфере мире,1
россия обороноспособность,1
которым обладает,1
навязывать волю,1
оружие которым,1
впервые историю,1
подчеркнуть впервые,1
впервые хочу,1
объеме впервые,1
достаточном объеме,1
своевременно достаточном,1
сделаны своевременно,1
безопасности сделаны,1
национальной безопасности,1
укреплению национальной,1
шаги укреплению,1
наши шаги,1
заверить наши,1
могу заверить,1
волю могу,1
историю существования,1
существования ракетноядерного,1
ракетноядерного оружия,1
наоборот другим,1
создать оружие,1
предстоит создать,1
мира предстоит,1
государствам мира,1
ведущим государствам,1
другим ведущим,1
догоняем наоборот,1
оружия включая,1
никого догоняем,1
время никого,1
новейшее время,1
период новейшее,1
советский период,1
включая советский,1
стать сильными,1
утверждены парламентом,1
команд могли,1
впредь будут,1
правоохранительные органы,1
наказания правоохранительные,1
пресечения наказания,1
меры пресечения,1
строгие меры,1
устанавливались строгие,1
статью устанавливались,1
подпадали статью,1
сотрудники подпадали,1
практически сотрудники,1
значит практически,1
сообщество значит,1
преступное сообщество,1
организованное преступное,1
квалифицироваться организованное,1
органы впредь,1
будут обязаны,1
валюте преодолеет,1
обязаны доказать,1
благосостояния размещенная,1
национального благосостояния,1
фонда национального,1
часть фонда,1
летом часть,1
оценкам летом,1
четвертое оценкам,1
цели четвертое,1
незаконные цели,1
создавалась незаконные,1
умышленно создавалась,1
изначально умышленно,1
компания изначально,1
организация компания,1
доказать организация,1
могла квалифицироваться,1
закон могла,1
нарушили закон,1
руководители нарушили,1
нормы уголовного,1
размытые нормы,1
убирают размытые,1
которые убирают,1
достоинства граждан,1
поддержать поправки,1
прошу поддержать,1
думу прошу,1
внес думу,1
третье внес,1
проще третье,1
удобнее проще,1
бизнеса удобнее,1
работу бизнеса,1
сделать работу,1
уголовного законодательства,1
законодательства части,1
части называемых,1
ю статью,1
чьи руководители,1
компания чьи,1
любая компания,1
которой любая,1
ук которой,1
статью ук,1
внимание ю,1
называемых экономических,1
обращали внимание,1
неоднократно обращали,1
предприниматели неоднократно,1
так предприниматели,1
составов так,1
экономических составов,1
размещенная валюте,1
преодолеет отметку,1
новаторских команд,1
пятое уверенного,1
регионах местах,1
активности регионах,1
социальной активности,1
туризма социальной,1
бизнеса туризма,1
малого бизнеса,1
рост малого,1
собой рост,1
потянут собой,1
обязательно потянут,1
проекты обязательно,1
такие проекты,1
автотрассы такие,1
федеральные автотрассы,1
выходы федеральные,1
местах пятое,1
уверенного роста,1
отметку процентов,1
роста инвестиций,1
линию повышение,1
последовательную линию,1
отмечу последовательную,1
россии отмечу,1
ответственность банка,1
прямая ответственность,1
это прямая,1
знаем это,1
это знаем,1
деньги это,1
длинные деньги,1
называемые длинные,1
нужны называемые,1
экономике нужны,1
инвестиций экономике,1
центрами выходы,1
областными центрами,1
магистрали областными,1
городов магистрали,1
дополнительные доходы,1
вкладывать дополнительные,1
можем вкладывать,1
значит можем,1
безопасность значит,1
устойчивость безопасность,1
нам устойчивость,1
гарантируют нам,1
которые гарантируют,1
резервов которые,1
объемы резервов,1
такие объемы,1
сформировали такие,1
ввп сформировали,1
процентов ввп,1
доходы развитие,1
развитие национальную,1
ради достоинства,1
ограничения территорий,1
крупных городов,1
обходы крупных,1
автомобильные обходы,1
числе автомобильные,1
это числе,1
территорий это,1
инфраструктурные ограничения,1
экономику приоритетом,1
снимают инфраструктурные,1
которые снимают,1
проекты которые,1
окупаемые проекты,1
стать окупаемые,1
приоритетом должны,1
самым сделать,1
деятельности самым,1
контрольнонадзорной деятельности,1
внимание москва,1
лет менять,1
шести лет,1
течение шести,1
договорились течение,1
первое договорились,1
инвестиций первое,1
стимулирования инвестиций,1
сделать стимулирования,1
необходимо сделать,1
году необходимо,1
процентов году,1
процента процентов,1
москва кремль,1
текущего процента,1
увеличить текущего,1
менять налоговые,1
условия бизнеса,1
реформу контрольнонадзорной,1
бизнеса таким,1
защите поощрении,1
законопроектов защите,1
пакета законопроектов,1
принятие пакета,1
ускорить принятие,1
нужно ускорить,1
правительству нужно,1
депутатам правительству,1
обращаюсь депутатам,1
инвестиций обращаюсь,1
планирования инвестиций,1
горизонт планирования,1
широкий горизонт,1
обеспечить широкий,1
образом обеспечить,1
нужно увеличить,1
страны нужно,1
ввп страны,1
долю ввп,1
обновление рабочих,1
создание обновление,1
вложения создание,1
нарастить вложения,1
серьезно нарастить,1
цикл серьезно,1
инвестиционный цикл,1
новый инвестиционный,1
запустить новый,1
динамику нужно,1
такую динамику,1
получить такую,1
мировых получить,1
выше мировых,1
должны выше,1
рабочих мест,1
мест инфраструктуру,1
инфраструктуру развитие,1
ежегодный прирост,1
процентов долю,1
пяти процентов,1
составлять менее,1
должен составлять,1
инвестиций должен,1
прирост инвестиций,1
года ежегодный,1
развитие промышленности,1
начиная года,1
услуг начиная,1
сферы услуг,1
хозяйства сферы,1
сельского хозяйства,1
промышленности сельского,1
поощрении капиталовложений,1
капиталовложений напомню,1
напомню налоговые,1
называемый инвестиционный,1
поступления связи,1
теряют поступления,1
бюджеты теряют,1
региональные бюджеты,1
почему региональные,1
понятно почему,1
возможность понятно,1
используют возможность,1
редко используют,1
прибыль редко,1
налогу прибыль,1
льготу налогу,1
трехлетнюю льготу,1
вычет трехлетнюю,1
налоговый вычет,1
предлагаю счет,1
счет федеральных,1
федеральных средств,1
инвестиционного налогового,1
завершить реформу,1
наконец завершить,1
нужно наконец,1
второе году,1
вычета второе,1
налогового вычета,1
применения инвестиционного,1
средств компенсировать,1
доходов применения,1
выпадающих доходов,1
трети выпадающих,1
две трети,1
регионам две,1
компенсировать регионам,1
инвестиционный налоговый,1
предоставлять называемый,1
условия крупных,1
право предоставлять,1
зафиксированы года,1
должны зафиксированы,1
объектов должны,1
производственных объектов,1
строительстве производственных,1
нормативы строительстве,1
требования нормативы,1
лет требования,1
срок лет,1
неизменны срок,1
благодарю внимание,1
должны неизменны,1
проектов должны,1
значимых проектов,1
крупных значимых,1
года гарантии,1
гарантии инвесторам,1
инвесторам должны,1
деловые инициативы,1
федерации право,1
бизнеса субъектов,1
граждан благодарю,1
среднего бизнеса,1
малого среднего,1
инициативы малого,1
проекты деловые,1
стать нормой,1
крупные проекты,1
получить крупные,1
поддержку должны,1
конечно поддержку,1
закона конечно,1
нормой закона,1
повышение доступности,1
доступности кредита,1
кредита реального,1
талантливых молодых,1
это стимул,1
задачи это,1
амбициозные задачи,1
самые амбициозные,1
браться самые,1
оборудовании браться,1
уникальном оборудовании,1
работать уникальном,1
возможность работать,1
уверен возможность,1
мегасайенс уверен,1
класса мегасайенс,1
объекты класса,1
включая объекты,1
инфраструктуры включая,1
стимул талантливых,1
людей идти,1
возрастает должны,1
идти науку,1
инженерам предпринимателям,1
исследователям инженерам,1
лет исследователям,1
моложе лет,1
россии моложе,1
своей семьи,1
ученый россии,1
второй ученый,1
каждый второй,1
десятилетия каждый,1
середине десятилетия,1
оценкам середине,1
коллеги оценкам,1
происходит уважаемые,1
науку происходит,1
исследовательской инфраструктуры,1
семьи своих,1
развитие исследовательской,1
продолжим развитие,1
материалах источниках,1
новых материалах,1
генетике новых,1
интеллекте генетике,1
искусственном интеллекте,1
всего искусственном,1
речь прежде,1
будущее речь,1
определяют будущее,1
которые определяют,1
направлениям которые,1
стандарты направлениям,1
технологии стандарты,1
собственные технологии,1
создать собственные,1
источниках энергии,1
энергии цифровых,1
цифровых технологиях,1
слова скажу,1
задач продолжим,1
технологических задач,1
сложных технологических,1
решения сложных,1
позже решения,1
скажу позже,1
сфере слова,1
технологиях убежден,1
оборонной сфере,1
прорыва оборонной,1
такого прорыва,1
достичь такого,1
способны достичь,1
убежден способны,1
предпринимателям должны,1
должны обеспечить,1
обеспечить свободу,1
следует настроить,1
реализация идеи,1
неудачная реализация,1
риск неудачная,1
право риск,1
должно право,1
предпринимателя должно,1
технологического предпринимателя,1
финансирования технологического,1
венчурного финансирования,1
прямого венчурного,1
имя своей,1
инструментов прямого,1
поддержки инструментов,1
государственной поддержки,1
механизмы государственной,1
идеи автоматически,1
автоматически означала,1
означала нецелевое,1
создать такие,1
стартапов новаторских,1
условия стартапов,1
надеюсь многие,1
финансовые условия,1
правовые финансовые,1
такие правовые,1
словом нужно,1
нецелевое использование,1
преследованием словом,1
уголовным преследованием,1
возможным уголовным,1
последующим возможным,1
средств последующим,1
использование средств,1
настроить механизмы,1
стандартов следует,1
свободу работы,1
мировых стандартов,1
гибкий механизм,1
запустить гибкий,1
пакета году,1
законодательного пакета,1
технологического законодательного,1
называемого технологического,1
рассмотрение называемого,1
ускорить рассмотрение,1
думы ускорить,1
депутатов государственной,1
правительство депутатов,1
поиска прошу,1
инновационного поиска,1
научного инновационного,1
работы научного,1
механизм экспериментальных,1
экспериментальных правовых,1
правовых режимов,1
регулирование оборота,1
лучших мировых,1
основе лучших,1
далее основе,1
данных далее,1
больших данных,1
оборота больших,1
современное регулирование,1
режимов разработки,1
наладить современное,1
технологий наладить,1
новых технологий,1
россии новых,1
внедрения россии,1
разработки внедрения,1
своих близких,1
многократно возрастает,1
россии ради,1
года менее,1
мониторинга далее,1
экологического мониторинга,1
систему экологического,1
полноценную систему,1
сформировать полноценную,1
почвы сформировать,1
воды почвы,1
воздуха воды,1
состоянием воздуха,1
причем состоянием,1
страну причем,1
контроль страну,1
распространить контроль,1
дальнейшем распространить,1
воздуха дальнейшем,1
далее конца,1
